Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum,Detection,Gaussian Did Subtract,Gaussian Fit Success,Gaussian Fit Error,Brightest In Center,Brightest Y,Brightest X,Brightest Value,Final Brightest In Center,Final Brightest Y,Final Brightest X,Final Brightest Value,New Peak 3x3,New RMS,New SNR,New Detection,Gaussian Amp,Gaussian Sigma X,Gaussian Sigma Y,Gaussian Offset,Gaussian Adjusted File Path
ZTF18aaermez,2,10:12:42.89,+39:22:26.0,SN Ia,0.02284,97.88571428571429,1022.4147372166,8.452805915041951e+27,1.368366895228865e+27,0.7373013067990541,0.119358396553732,final_luminosity_arrays\ZTF18aaermez_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaermez_epoch_2.fits,8.452805915041951e+27,True,False,False,,True,14.0,14.0,8.452805915041951e+27,True,6,6,8.452805915041951e+27,8.452805915041951e+27,1.3683867790489086e+27,6.177205191150003,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaermez_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aaermez,3,10:12:42.89,+39:22:26.0,SN Ia,0.02284,97.88571428571429,1971.7323235448623,1.0166932939623135e+28,1.5108535992155636e+27,0.886817113496363,0.1317870694318742,final_luminosity_arrays\ZTF18aaermez_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaermez_epoch_3.fits,8.539349689802464e+27,True,False,False,,True,15.0,13.0,1.0166932939623137e+28,True,7,5,1.0166932939623137e+28,1.0166932939623137e+28,1.5108755535183053e+27,6.7291663538720154,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaermez_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aaisqmw,1,11:45:25.80,+55:31:37.0,SN Ia,0.0527,225.85714285714283,-1114.7966182196976,4.711510659924642e+28,9.232554044836864e+27,0.7719252607785165,0.1512666693060876,final_luminosity_arrays\ZTF18aaisqmw_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaisqmw_epoch_1.fits,3.671065844982355e+28,True,False,False,,True,14.0,15.0,4.711510659924642e+28,True,6,7,4.711510659924642e+28,4.711510659924642e+28,9.232688203624111e+27,5.103075676350936,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaisqmw_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aaisqmw,2,11:45:25.80,+55:31:37.0,SN Ia,0.0527,225.85714285714283,-123.06108102961488,3.7870053358971087e+28,1.3258299596356267e+28,0.6204560049809515,0.2172247041136596,final_luminosity_arrays\ZTF18aaisqmw_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaisqmw_epoch_2.fits,7.371139655590954e+27,False,False,False,Original Detection is False; no Gaussian subtraction attempted,,,,,False,4,7,4.466667325407666e+28,3.7870053358971087e+28,1.3258492253489513e+28,2.8562865697646758,False,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaisqmw_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aaisqmw,3,11:45:25.80,+55:31:37.0,SN Ia,0.0527,225.85714285714283,751.8320509168086,3.640503638531812e+28,7.367175887571341e+27,0.5964534357190131,0.1207042117807313,final_luminosity_arrays\ZTF18aaisqmw_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaisqmw_epoch_3.fits,3.0269249952158024e+28,True,False,False,,True,15.0,15.0,3.6405036385318123e+28,True,7,7,3.6405036385318123e+28,3.6405036385318123e+28,7.367282940438589e+27,4.941446755830835,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaisqmw_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aaivnak,1,14:41:05.77,+30:02:08.4,SN Ia,0.083,355.7142857142857,-1885.8310803323848,2.526731737845881e+29,2.1068640828786727e+28,1.668934361077845,0.1391627335715426,final_luminosity_arrays\ZTF18aaivnak_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaivnak_epoch_1.fits,2.526731737845881e+29,True,False,False,,True,14.0,14.0,2.526731737845881e+29,True,6,6,2.526731737845881e+29,2.526731737845881e+29,2.106894697844898e+28,11.992681648638758,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaivnak_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aaivnak,2,14:41:05.77,+30:02:08.4,SN Ia,0.083,355.7142857142857,-920.9187996306302,3.4328431423196105e+29,2.4125456629888566e+28,2.267431002110243,0.159353634653533,final_luminosity_arrays\ZTF18aaivnak_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaivnak_epoch_2.fits,3.4328431423196105e+29,True,False,False,,True,14.0,14.0,3.4328431423196105e+29,True,6,6,3.4328431423196105e+29,3.4328431423196105e+29,2.412580719832147e+28,14.228925540607184,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaivnak_epoch_2_gaussian_adjusted_13x13_lum.npy
ZTF18aaivnak,3,14:41:05.77,+30:02:08.4,SN Ia,0.083,355.7142857142857,-137.90864265925447,3.086609172497901e+29,1.8583165274180524e+28,2.038739621639252,0.1227456530766466,final_luminosity_arrays\ZTF18aaivnak_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aaivnak_epoch_3.fits,3.086609172497901e+29,True,False,False,,True,14.0,14.0,3.086609172497901e+29,True,6,6,3.086609172497901e+29,3.086609172497901e+29,1.858343530725093e+28,16.60946494265008,True,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aaivnak_epoch_3_gaussian_adjusted_13x13_lum.npy
ZTF18aakfabl,1,11:45:11.17,+61:42:30.0,SN II,0.035,150.00000000000003,-381.12463097173526,2.98951638125409e+28,5.306736881328173e+27,1.110455486923456,0.1971215396071475,final_luminosity_arrays\ZTF18aakfabl_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aakfabl_epoch_1.fits,2.3692660254843053e+28,True,True,True,,False,17.0,15.0,3.7499022174304973e+28,False,3,2,3.253048853450832e+28,2.94061087781344e+28,5.633625696576855e+27,5.219748411045901,False,1.8065562614793568e+28,1.0745917343577118,1.0321607044461953,1.9433459559511404e+28,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aakfabl_epoch_1_gaussian_adjusted_13x13_lum.npy
ZTF18aakfabl,2,11:45:11.17,+61:42:30.0,SN II,0.035,150.00000000000003,677.8125670958976,2.209520143258404e+28,7.374123731530356e+27,0.8207259816117586,0.2739157142550961,final_luminosity_arrays\ZTF18aakfabl_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18aakfabl_epoch_2.fits,2.1743753659395043e+28,False,False,False,Original Detection is False; no Gaussian subtraction attempted,,,,,False,9,6,3.881020482716123e+28,2.2095201432584038e+28,7.374230885357134e+27,2.9962719876940724,False,,,,,C:\Research\bts_vlass_cross_matching\gaussian_adjusted_luminosity_arrays\ZTF18aakfabl_epoch_2_gaussian_adjusted_13x13_lum.npy
