Name,Epoch,Rest_DeltaT,New Peak 3x3 mJy,New RMS mJy
ZTF17aaazdba,1,49.882583170236174,0.4720176802948118,0.19210433343852523
ZTF17aaazdba,2,1002.9158512719974,1.1035923380404713,0.13107070057854223
ZTF17aaazdba,3,1857.1232876712147,0.6980620673857629,0.1307408059690483
ZTF18aadmssd,1,100.69195661760904,5.052860360592604,0.15151341388784936
ZTF18aadmssd,2,980.1148353534386,5.736780818551779,0.1250673868905761
ZTF18aadmssd,3,1941.9836089707524,5.54108340293169,0.12999392505358098
ZTF18aaemivw,1,171.3318962969903,1.0076073231175542,0.1693669748773026
ZTF18aaemivw,2,1037.6731765673114,0.6393180810846388,0.13524200178411952
ZTF18aaemivw,3,1960.331333128228,0.4944411921314895,0.16802167869335113
ZTF18aaermez,1,88.73987115739233,0.9783715941011903,0.1291739277120893
ZTF18aaermez,2,1022.4147372166,0.737301306799054,0.11935839655373201
ZTF18aaermez,3,1971.7323235448623,0.8868171134963632,0.1317870694318742
ZTF18aaisqmw,1,-1114.7966182196976,0.7719252607785166,0.15126666930608765
ZTF18aaisqmw,2,-123.06108102961488,0.6204560049809514,0.21722470411365963
ZTF18aaisqmw,3,751.8320509168086,0.5964534357190132,0.12070421178073139
ZTF18aaivnak,1,-1885.8310803323848,1.668934361077845,0.1391627335715427
ZTF18aaivnak,2,-920.9187996306302,2.267431002110243,0.15935363465353308
ZTF18aaivnak,3,-137.90864265925447,2.0387396216392517,0.12274565307664664
ZTF18aamzgzi,1,305.2529718048716,0.5862514031460374,0.131546217541714
ZTF18aamzgzi,2,1233.6349346695931,1.2409697519615293,0.13151688068184741
ZTF18aamzgzi,3,2158.087238432241,1.4422263484448195,0.12298039459343417
ZTF18aanlyba,1,-1492.2599418040918,0.7298457785509527,0.1069033004380982
ZTF18aanlyba,2,-456.3724539282432,0.4329996590968221,0.13601251311552087
ZTF18aanlyba,3,409.77691561588887,0.48743758816272015,0.13200473065151228
ZTF18aaupmks,1,317.96153846169966,1.733296434395015,0.12445490820340216
ZTF18aaupmks,2,1244.8846153847765,1.953556202352047,0.13408657009778488
ZTF18aaupmks,3,2140.0769230770843,1.7241144087165594,0.13488067399572307
ZTF18aawitoj,1,-1936.458629737468,1.6774855321273208,0.1333716614031953
ZTF18aawitoj,2,-893.6986686101599,1.5663638478145006,0.1570824507836663
ZTF18aawitoj,3,-16.147648201996518,1.6927326796576379,0.1406623230423921
ZTF18aawmeiw,1,-1778.1814671814636,1.1543010520756185,0.14994585028966817
ZTF18aawmeiw,2,-742.4671814671779,1.3448694953694942,0.1678651335226491
