Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,File Path,RMS
ZTF18aaaqexr,3,11:43:06.37,+15:34:01.7,SN Ia,0.0702,300.85714285714283,1004.0745131577096,final_luminosity_arrays\ZTF18aaaqexr_epoch_3_lum.npy,1.5137847891173435e+28
ZTF18aabcgyb,1,11:59:04.35,+26:17:00.2,SN Ia,0.0467,200.1428571428572,324.66704882001585,final_luminosity_arrays\ZTF18aabcgyb_epoch_1_lum.npy,9.796844653144226e+27
ZTF18aabcgyb,2,11:59:04.35,+26:17:00.2,SN Ia,0.0467,200.1428571428572,1224.6383873124205,final_luminosity_arrays\ZTF18aabcgyb_epoch_2_lum.npy,5.640683449102535e+27
ZTF18aabcgyb,3,11:59:04.35,+26:17:00.2,SN Ia,0.0467,200.1428571428572,2143.717397535025,final_luminosity_arrays\ZTF18aabcgyb_epoch_3_lum.npy,7.695416993514215e+27
ZTF18aabdajx,1,12:20:45.07,+49:33:04.6,TDE,0.0284,121.71428571428572,-1512.660443407343,final_luminosity_arrays\ZTF18aabdajx_epoch_1_lum.npy,1.9280592021147893e+27
ZTF18aabdajx,2,12:20:45.07,+49:33:04.6,TDE,0.0284,121.71428571428572,-554.8619214314583,final_luminosity_arrays\ZTF18aabdajx_epoch_2_lum.npy,2.6621310722060064e+27
ZTF18aabdajx,3,12:20:45.07,+49:33:04.6,TDE,0.0284,121.71428571428572,336.81446907807106,final_luminosity_arrays\ZTF18aabdajx_epoch_3_lum.npy,2.3339846761261824e+27
ZTF18aabdgik,1,11:42:23.68,+10:15:50.7,SN Ia,0.02169,92.95714285714286,-301.09915923605814,final_luminosity_arrays\ZTF18aabdgik_epoch_1_lum.npy,1.3263218535161324e+27
ZTF18aabdgik,2,11:42:23.68,+10:15:50.7,SN Ia,0.02169,92.95714285714286,609.1573765037456,final_luminosity_arrays\ZTF18aabdgik_epoch_2_lum.npy,1.2758889057298036e+27
ZTF18aabdgik,3,11:42:23.68,+10:15:50.7,SN Ia,0.02169,92.95714285714286,1507.6686666211,final_luminosity_arrays\ZTF18aabdgik_epoch_3_lum.npy,1.6636119245672003e+27
ZTF18aabkrky,1,11:01:50.57,+44:26:57.2,SN Ia,0.03751,160.75714285714287,-1738.1490098309068,final_luminosity_arrays\ZTF18aabkrky_epoch_1_lum.npy,5.842999809030883e+27
ZTF18aabkrky,2,11:01:50.57,+44:26:57.2,SN Ia,0.03751,160.75714285714287,-828.2782615971549,final_luminosity_arrays\ZTF18aabkrky_epoch_2_lum.npy,4.046600130475469e+27
ZTF18aabkrky,3,11:01:50.57,+44:26:57.2,SN Ia,0.03751,160.75714285714287,57.49633334650835,final_luminosity_arrays\ZTF18aabkrky_epoch_3_lum.npy,3.1974388273459306e+27
ZTF18aabkvpi,1,11:40:09.40,+15:19:38.5,TDE,0.011,47.142857142857146,-80.7449653810102,final_luminosity_arrays\ZTF18aabkvpi_epoch_1_lum.npy,3.353765803106793e+26
ZTF18aabkvpi,2,11:40:09.40,+15:19:38.5,TDE,0.011,47.142857142857146,986.5151730957456,final_luminosity_arrays\ZTF18aabkvpi_epoch_2_lum.npy,3.4531431113591874e+26
ZTF18aabkvpi,3,11:40:09.40,+15:19:38.5,TDE,0.011,47.142857142857146,1805.5062710185944,final_luminosity_arrays\ZTF18aabkvpi_epoch_3_lum.npy,3.960929535951248e+26
ZTF18aabssth,1,11:00:45.38,+22:17:14.9,SN II,0.023,98.57142857142856,401.51026392972807,final_luminosity_arrays\ZTF18aabssth_epoch_1_lum.npy,1.5684907194211104e+27
ZTF18aabssth,2,11:00:45.38,+22:17:14.9,SN II,0.023,98.57142857142856,1321.35386119268,final_luminosity_arrays\ZTF18aabssth_epoch_2_lum.npy,1.3603584674973434e+27
ZTF18aabssth,3,11:00:45.38,+22:17:14.9,SN II,0.023,98.57142857142856,2275.41055718486,final_luminosity_arrays\ZTF18aabssth_epoch_3_lum.npy,1.334780485934783e+27
ZTF18aabtxvd,1,07:56:54.54,+34:15:43.6,TDE,0.071,304.2857142857142,428.26797385603527,final_luminosity_arrays\ZTF18aabtxvd_epoch_1_lum.npy,1.4676132773759952e+28
ZTF18aabtxvd,2,07:56:54.54,+34:15:43.6,TDE,0.071,304.2857142857142,1291.9467787113108,final_luminosity_arrays\ZTF18aabtxvd_epoch_2_lum.npy,1.2213262934873594e+28
