Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum
ZTF17aaapufz,1,12:35:52.28,+27:55:55.4,LBV,0.00261,11.185714285714283,595.4658341728275,6.885868452316195e+24,1.6280479520386438e+25,0.0459953589597717,0.1087498818783739,final_luminosity_arrays\ZTF17aaapufz_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaapufz_epoch_1.fits,-1.2795965994021066e+25
ZTF17aaapufz,2,12:35:52.28,+27:55:55.4,LBV,0.00261,11.185714285714283,1609.8183740437644,5.911585482218527e+25,2.19469223624647e+25,0.3948746598325671,0.1466004248537777,final_luminosity_arrays\ZTF17aaapufz_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaapufz_epoch_2.fits,2.4547445675261356e+25
ZTF17aaapufz,3,12:35:52.28,+27:55:55.4,LBV,0.00261,11.185714285714283,2496.504124235764,3.179668750071997e+25,1.9367916216673627e+25,0.2123915182892234,0.1293732532973639,final_luminosity_arrays\ZTF17aaapufz_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaapufz_epoch_3.fits,1.061455479173156e+25
ZTF17aaazdba,1,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,49.882583170236174,5.020735264809433e+27,2.043336566841558e+27,0.4720176802948119,0.1921043334385252,final_luminosity_arrays\ZTF17aaazdba_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaazdba_epoch_1.fits,1.2469718463704562e+27
ZTF17aaazdba,2,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,1002.9158512719974,1.1738638616486988e+28,1.3941463502663837e+27,1.1035923380404715,0.1310707005785422,final_luminosity_arrays\ZTF17aaazdba_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaazdba_epoch_2.fits,1.023555435508845e+28
ZTF17aaazdba,3,08:13:16.95,+22:38:53.9,TDE,0.022,94.28571428571428,1857.1232876712147,7.425113475750459e+27,1.3906373939262672e+27,0.6980620673857632,0.1307408059690482,final_luminosity_arrays\ZTF17aaazdba_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aaazdba_epoch_3.fits,7.425113475750459e+27
ZTF17aabtvsy,1,10:35:32.09,+37:38:59.0,SN Ia,0.06922,296.65714285714284,-1184.4853912197177,9.346201774066564e+27,1.4348868493047865e+28,0.0887581554707139,0.1362690040056384,final_luminosity_arrays\ZTF17aabtvsy_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aabtvsy_epoch_1.fits,-3.4222773671233563e+27
ZTF17aabtvsy,2,10:35:32.09,+37:38:59.0,SN Ia,0.06922,296.65714285714284,-321.23928658269267,1.4328926105101712e+28,1.163795418207047e+28,0.1360776368528604,0.1105238664513772,final_luminosity_arrays\ZTF17aabtvsy_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aabtvsy_epoch_2.fits,9.87861870271203e+27
ZTF17aabtvsy,3,10:35:32.09,+37:38:59.0,SN Ia,0.06922,296.65714285714284,598.1224911618314,2.175155911622594e+28,1.2105223793335982e+28,0.2065682201646268,0.1149614543043918,final_luminosity_arrays\ZTF17aabtvsy_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aabtvsy_epoch_3.fits,1.2699707472006309e+28
ZTF17aacldgo,1,03:09:24.35,-04:53:39.2,SN Ia,0.072,308.57142857142856,-1686.942164178889,1.6131341177149826e+28,1.410383010009303e+28,0.1415930018993094,0.1237983028687351,final_luminosity_arrays\ZTF17aacldgo_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF17aacldgo_epoch_1.fits,-2.53884471761637e+27
