Transient Name,Epoch,Peak Flux,RMS Flux,redshift,dt,Luminosity (erg/s/Hz),RA,Dec,Unique FITS Part
ZTF20aafrihv,VLASS2.2,0.284,0.122,0.064,677.63,1.2890363565841191e+28,09:43:56.71,+49:52:14.1,T23t10/VLASS2.2.ql.T23t10.J094543+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafrjqw,VLASS1.2v2,0.356,0.164,0.08822,-262.48,3.4036441255974127e+28,10:30:49.21,+19:43:31.7,T15t15/VLASS1.2.ql.T15t15.J103206+193000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafrjqw,VLASS2.2,0.257,0.109,0.08822,679.52,2.262178107866573e+28,10:30:49.21,+19:43:31.7,T15t15/VLASS2.2.ql.T15t15.J103206+193000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafsnpp,VLASS1.1v2,0.497,0.105,0.0445,-779.45,5.217592200526634e+27,13:37:20.85,+61:59:09.6,T26t11/VLASS1.1.ql.T26t11.J134037+613000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafsnpp,VLASS2.1,0.468,0.157,0.0445,216.55,7.801542623644585e+27,13:37:20.85,+61:59:09.6,T26t11/VLASS2.1.ql.T26t11.J134037+613000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafsnpp,VLASS3.1,0.359,0.124,0.0445,1119.55,6.161727932050502e+27,13:37:20.85,+61:59:09.6,T26t11/VLASS3.1.ql.T26t11.J134037+613000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafvzhu,VLASS1.1v2,0.183,0.092,0.05,-833.14,5.817059866123593e+27,02:09:37.27,+15:17:45.0,T14t04/VLASS1.1.ql.T14t04.J021021+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafvzhu,VLASS2.1,0.345,0.139,0.05,197.86,8.78881871077369e+27,02:09:37.27,+15:17:45.0,T14t04/VLASS2.1.ql.T14t04.J021021+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafvzhu,VLASS3.1,0.308,0.131,0.05,1113.86,8.28298741806729e+27,02:09:37.27,+15:17:45.0,T14t04/VLASS3.1.ql.T14t04.J021021+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafwbcs,VLASS1.2v2,0.421,0.141,0.07,-293.14,1.7971330265463206e+28,00:42:21.24,+29:41:09.2,T18t01/VLASS1.2.ql.T18t01.J004304+293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafwbcs,VLASS2.2,0.31,0.101,0.07,641.86,1.2873080544764426e+28,00:42:21.24,+29:41:09.2,T18t01/VLASS2.2.ql.T18t01.J004304+293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafxftu,VLASS1.2v2,0.326,0.129,0.07,-200.19,1.6441855349253576e+28,05:32:24.83,-27:24:38.1,T04t09/VLASS1.2.ql.T04t09.J053113-273000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafxftu,VLASS2.2,0.353,0.126,0.07,763.81,1.6059486620201163e+28,05:32:24.83,-27:24:38.1,T04t09/VLASS2.2.ql.T04t09.J053113-273000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafzcab,VLASS1.2v2,0.406,0.169,0.08,-184.46,2.852298827461954e+28,08:15:59.94,-18:16:51.8,T06t13/VLASS1.2.ql.T06t13.J081443-183000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aafzcab,VLASS2.2,0.37,0.142,0.08,768.54,2.396606115382233e+28,08:15:59.94,-18:16:51.8,T06t13/VLASS2.2.ql.T06t13.J081443-183000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagfjlj,VLASS1.1v2,0.342,0.157,0.045,-740.34,7.983568817634268e+27,10:11:57.90,-01:57:06.1,T10t16/VLASS1.1.ql.T10t16.J101000-013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagfjlj,VLASS2.1,0.553,0.137,0.045,239.66,6.966553681629904e+27,10:11:57.90,-01:57:06.1,T10t16/VLASS2.1.ql.T10t16.J101000-013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagfjlj,VLASS3.1,0.328,0.135,0.045,1110.66,6.864852168029466e+27,10:11:57.90,-01:57:06.1,T10t16/VLASS3.1.ql.T10t16.J101000-013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghlkv,VLASS1.1v2,0.326,0.128,0.02,-782.44,1.2395926807894764e+27,12:57:04.95,+29:05:19.4,T18t18/VLASS1.1.ql.T18t18.J125626+293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghlkv,VLASS2.1,0.344,0.114,0.02,266.56,1.1040122313281276e+27,12:57:04.95,+29:05:19.4,T18t18/VLASS2.1.ql.T18t18.J125626+293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghlkv,VLASS3.1,0.269,0.123,0.02,1097.56,1.1911710916961376e+27,12:57:04.95,+29:05:19.4,T18t18/VLASS3.1.ql.T18t18.J125626+293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghnxd,VLASS1.1v2,0.463,0.124,0.07,-781.46,1.580457413416623e+28,12:47:10.36,+29:34:33.4,T18t18/VLASS1.1.ql.T18t18.J124717+293000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghnxd,VLASS2.1,0.286,0.109,0.07,267.54,1.389273048890418e+28,12:47:10.36,+29:34:33.4,T18t18/VLASS2.1.ql.T18t18.J124717+293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghnxd,VLASS3.1,0.274,0.108,0.07,1098.54,1.3765274245886711e+28,12:47:10.36,+29:34:33.4,T18t18/VLASS3.1.ql.T18t18.J124717+293000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghoqz,VLASS1.2v2,0.316,0.157,0.0761,-310.46,2.384964192525448e+28,15:13:48.42,+08:19:52.4,T13t23/VLASS1.2.ql.T13t23.J151420+083000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghoqz,VLASS2.2,0.471,0.137,0.0761,682.54,2.08114709793622e+28,15:13:48.42,+08:19:52.4,T13t23/VLASS2.2.ql.T13t23.J151420+083000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghpdc,VLASS1.1v2,0.5,0.14,0.086,-853.47,2.7528984499644937e+28,17:12:49.00,+79:03:41.5,T30t07/VLASS1.1.ql.T30t07.J171322+793000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghpdc,VLASS2.1,0.287,0.113,0.086,225.53,2.2219823203284844e+28,17:12:49.00,+79:03:41.5,T30t07/VLASS2.1.ql.T30t07.J171322+793000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaghpdc,VLASS3.1,0.246,0.11,0.086,1124.53,2.1629916392578167e+28,17:12:49.00,+79:03:41.5,T30t07/VLASS3.1.ql.T30t07.J171322+793000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaglivt,VLASS1.1v2,0.485,0.197,0.06665,-788.38,2.265763013950206e+28,08:56:18.85,+11:59:13.9,T13t14/VLASS1.1.ql.T13t14.J085820+113000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaglivt,VLASS2.1,1.032,0.363,0.06665,181.62,4.174984639918399e+28,08:56:18.85,+11:59:13.9,T13t14/VLASS2.1.ql.T13t14.J085820+113000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aaglivt,VLASS3.1,0.858,0.203,0.06665,1091.62,2.33477102452737e+28,08:56:18.85,+11:59:13.9,T13t14/VLASS3.1.ql.T13t14.J085820+113000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagloch,VLASS1.1v2,0.489,0.141,0.0483,-847.39,8.299205055037206e+27,09:28:39.48,+55:10:35.6,T24t10/VLASS1.1.ql.T24t10.J093122+553000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagloch,VLASS2.1,0.702,0.198,0.0483,264.61,1.1654202843243736e+28,09:28:39.48,+55:10:35.6,T24t10/VLASS2.1.ql.T24t10.J093122+553000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagloch,VLASS3.1,0.548,0.118,0.0483,1114.61,6.945434017690711e+27,09:28:39.48,+55:10:35.6,T24t10/VLASS3.1.ql.T24t10.J093122+553000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagmrid,VLASS1.2v2,0.37,0.173,0.07712,-310.49,2.7027126840003817e+28,15:52:12.13,+04:50:41.0,T12t24/VLASS1.2.ql.T12t24.J155404+043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagmrid,VLASS2.2,0.523,0.12,0.07712,657.51,1.8747140004626923e+28,15:52:12.13,+04:50:41.0,T12t24/VLASS2.2.ql.T12t24.J155404+043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagnbpw,VLASS1.1v2,0.345,0.096,0.05244,-812.54,6.70005686314875e+27,13:32:25.31,+38:21:39.8,T20t17/VLASS1.1.ql.T20t17.J133108+383000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagnbpw,VLASS2.1,0.354,0.128,0.05244,245.46,8.933409150864999e+27,13:32:25.31,+38:21:39.8,T20t17/VLASS2.1.ql.T20t17.J133108+383000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagnbpw,VLASS3.1,0.374,0.108,0.05244,1134.46,7.537563971042343e+27,13:32:25.31,+38:21:39.8,T20t17/VLASS3.1.ql.T20t17.J133108+383000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagvvnr,VLASS1.1v2,0.371,0.105,0.07,-749.34,1.3382905516834305e+28,10:49:57.09,+13:56:39.2,T14t17/VLASS1.1.ql.T14t17.J105015+133000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagvvnr,VLASS2.1,0.48,0.176,0.07,214.66,2.243229877107464e+28,10:49:57.09,+13:56:39.2,T14t17/VLASS2.1.ql.T14t17.J105015+133000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagvvnr,VLASS3.1,0.54,0.192,0.07,1095.66,2.447159865935416e+28,10:49:57.09,+13:56:39.2,T14t17/VLASS3.1.ql.T14t17.J105015+133000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagyuvy,VLASS1.1v2,0.476,0.139,0.04479,-838.09,7.000329489809502e+27,01:43:23.59,+13:30:31.3,T14t03/VLASS1.1.ql.T14t03.J014234+133000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagyuvy,VLASS2.1,0.38,0.143,0.04479,191.91,7.2017778204515e+27,01:43:23.59,+13:30:31.3,T14t03/VLASS2.1.ql.T14t03.J014234+133000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagyuvy,VLASS3.1,0.387,0.139,0.04479,1108.91,7.000329489809502e+27,01:43:23.59,+13:30:31.3,T14t03/VLASS3.1.ql.T14t03.J014234+133000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagzchj,VLASS1.2v2,0.328,0.131,0.05,-316.09,8.28298741806729e+27,02:13:59.87,+18:08:50.0,T15t03/VLASS1.2.ql.T15t03.J021331+183000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagzchj,VLASS2.2,0.363,0.128,0.05,662.91,8.093300683302389e+27,02:13:59.87,+18:08:50.0,T15t03/VLASS2.2.ql.T15t03.J021331+183000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagzqsb,VLASS1.1v2,0.303,0.125,0.07,-860.15,1.5932030377183695e+28,02:46:41.27,+07:45:16.2,T12t05/VLASS1.1.ql.T12t05.J024602+073000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagzqsb,VLASS2.1,0.407,0.17,0.07,206.85,2.1667561312969825e+28,02:46:41.27,+07:45:16.2,T12t05/VLASS2.1.ql.T12t05.J024602+073000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagzqsb,VLASS3.1,0.347,0.142,0.07,1211.85,1.809878650848068e+28,02:46:41.27,+07:45:16.2,T12t05/VLASS3.1.ql.T12t05.J024602+073000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagzzbi,VLASS1.2v2,0.392,0.132,0.085,-265.09,2.5321514069713696e+28,00:42:26.83,+44:20:56.1,T22t01/VLASS1.2.ql.T22t01.J004142+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aagzzbi,VLASS2.2,0.245,0.116,0.085,682.91,2.225223963702113e+28,00:42:26.83,+44:20:56.1,T22t01/VLASS2.2.ql.T22t01.J004142+443000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahapsq,VLASS1.1v2,0.352,0.12,0.056,-705.21,9.599025483201892e+27,05:59:03.47,-21:01:07.6,T05t09/VLASS1.1.ql.T05t09.J055916-213000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahapsq,VLASS2.1,0.383,0.163,0.056,280.79,1.3038676281349236e+28,05:59:03.47,-21:01:07.6,T05t09/VLASS2.1.ql.T05t09.J055916-213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahapsq,VLASS3.1,0.372,0.151,0.056,1235.79,1.207877373302905e+28,05:59:03.47,-21:01:07.6,T05t09/VLASS3.1.ql.T05t09.J055916-213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahaxjl,VLASS1.2v2,0.299,0.136,0.045,-284.22,6.915702924829686e+27,07:34:43.70,+18:02:32.9,T15t11/VLASS1.2.ql.T15t11.J073618+183000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahaxjl,VLASS2.2,0.3,0.137,0.045,666.78,6.966553681629904e+27,07:34:43.70,+18:02:32.9,T15t11/VLASS2.2.ql.T15t11.J073618+183000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahdwze,VLASS1.2v2,0.342,0.104,0.049,-281.29,6.306412162750734e+27,09:54:16.96,+51:40:52.5,T23t10/VLASS1.2.ql.T23t10.J095401+513000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahdwze,VLASS2.2,0.123,0.085,0.049,668.71,5.154279171478965e+27,09:54:16.96,+51:40:52.5,T23t10/VLASS2.2.ql.T23t10.J095401+513000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahfobk,VLASS1.1v2,0.347,0.131,0.033,-857.32,3.520708730415422e+27,12:05:34.79,+61:55:24.7,T26t10/VLASS1.1.ql.T26t10.J120407+613000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahfobk,VLASS2.1,0.369,0.118,0.033,154.68,3.171325421290227e+27,12:05:34.79,+61:55:24.7,T26t10/VLASS2.1.ql.T26t10.J120407+613000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahfobk,VLASS3.1,0.438,0.137,0.033,1085.68,3.6819625653962817e+27,12:05:34.79,+61:55:24.7,T26t10/VLASS3.1.ql.T26t10.J120407+613000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahggbm,VLASS1.2v2,0.299,0.118,0.1,-279.44,3.1965572449333405e+28,11:28:00.02,+16:36:26.6,T15t16/VLASS1.2.ql.T15t16.J112933+163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahggbm,VLASS2.2,0.256,0.078,0.1,667.56,2.1129785178372926e+28,11:28:00.02,+16:36:26.6,T15t16/VLASS2.2.ql.T15t16.J112933+163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
ZTF20aahidaa,VLASS1.2v2,0.218,0.105,0.068,-231.12,1.259415711770588e+28,23:42:16.48,+33:04:16.0,T19t30/VLASS1.2.ql.T19t30.J234300+333000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits
